tier,name,director,phone1,phone2,city,spyur_url,website,facebook,staff,founded,updated,flag
"D","ԶԱՔԱՐՅԱՆՍ ՔԸՆՍԱԼԹԻՆԳ ՍՊԸ","Նարեկ Զաքարյան, ղեկավար","+37498135117","","Երևան","https://spyur.am/am/companies/zaqaryans-consulting/52869","","","","","10.03.2026","call"
"D","Է ԸՆԴ ՋԻ ՓԱՐԹՆԵՐՍ ՍՊԸ","","+37441811119","+37455811119","Աբովյան","https://spyur.am/am/companies/e-and-g-partners/56416","","","","","10.03.2026","call"
"D","ԷԲԵԴԻ ԵՎ ԳՈՐԾԸՆԿԵՐՆԵՐ ՀԱՇՎԱՊԱՀԱԿԱՆ ԿՈՐՊՈՐԱՑԻԱ","","+18189560027","","","https://spyur.am/am/companies/abedi--associates-accountancy-corporation/35808","","","","","30.04.2026","foreign"
"D","ԷԼ ՓԻ ՓԱՐԹՆԵՐՍ ՓԲԸ","Լիաննա Վարուժանի Հարությունյան, տնօրեն","+37491237922","","Երևան","https://spyur.am/am/companies/lp-partners/24073","","","","","27.03.2026","call"
"D","ԷԼԼԱՌԱ ԸՔԱՈՒՆԹԻՆԳ","","+37494828420","","Երևան","https://spyur.am/am/companies/ellara-accounting/54833","","https://www.facebook.com/profile.php?id=61553165800667","","","05.02.2026","call"
"D","ԷՄ ԷՅՉ ԲԻԶՆԵՍ-ԽՈՐՀՐԴԱՏՎՈՒԹՅՈՒՆ (ԷՄ ԷՅՉ ԽՈՐՀՐԴԱՏՎՈՒԹՅՈՒՆ սահմանափակ պատասխանատվությամբ ընկերություն/ՍՊԸ)","","+37410509595","+37433509595","Երևան","https://spyur.am/am/companies/mh-business-consulting/58079","https://mhconsult.am/","","","","17.09.2025","call"
"D","ԷՄ ԷՍ ՖԱՅՆՆՍ ՍՊԸ","Մհեր Սողոմոնյան, տնօրեն","+37477330288","","Երևան","https://spyur.am/am/companies/ms-finance/51672","","https://www.facebook.com/groups/309655819205681","","","06.05.2026","call"
"D","ԷՄՋԻ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Գուրգեն Արմենի Մելիքյան, տնօրեն","+37494758188","+37444758188","Երևան","https://spyur.am/am/companies/mg-accounting-accounting-office/42199","http://www.mgaccounting.am","https://www.facebook.com/MGAccouting","","","29.01.2026","call"
"D","ԷՅ ԱՅ ԹԻ ՍԻ ՀԱՇՎԱՊԱՀԱԿԱՆ ԿԱԶՄԱԿԵՐՊՈՒԹՅՈՒՆ","Սևանա Գրիգորյան, տնօրեն","+37477010321","+37433555911","Երևան","https://spyur.am/am/companies/aitc-accounting-organization/42788","","https://www.facebook.com/AITCARM","<15","2016","02.10.2025","call"
"D","ԷՅ ԷԼ ԷՅ ՍՊԸ","Մարիամ Ավետիսյան, տնօրեն","+37460477433","","Էջմիածին","https://spyur.am/am/companies/ala/33264","","","","","06.05.2026","call"
"D","ԷՅ ԷՅ ԻՔՍ ՔՈՆՍԱԼԹԻՆԳ","Արմեն Հակոբյան, տնօրեն","+37441550325","+37496550323","Երևան","https://spyur.am/am/companies/aax-consulting/54566","","https://www.facebook.com/profile.php?id=61552676087564","","","21.07.2026","call"
"D","ԷՅ ԷՍ ԲԱԼԱՆՍ ՍԵՆԹԵՐ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Սվետա Մկրտչյան, տնօրեն","+37495293440","+37477293440","Երևան","https://spyur.am/am/companies/as-balance-center-accounting-company/35442","","https://www.facebook.com/pages/As-Balance-Center-LLC/588754501136750","<15","2012","07.08.2026","call"
"D","ԷՅ ՋԻ ՌՈՅԱԼ ՔՈՆՍԱԼԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ ՍՊԸ","Անի Գրիգորյան, տնօրեն","+37494222127","","Երևան","https://spyur.am/am/companies/ag-royal-consulting-accounting-company/52593","","https://www.facebook.com/profile.php?id=100086946713187","","","07.11.2025","call"
